Gene_name,logFC,P.Value
APOC1,2.14635658607827,5.68819757911191e-10
CRYAB,1.39213400726303,1.6834329320074e-08
NA,2.66919087979093,1.77803797655264e-07
AMBP,1.86930246726833,3.08975731513037e-07
NA,0.978031839093337,3.51903059772847e-07
APOA1,2.00478705348434,3.75731386567626e-07
CP,1.74606809041349,4.17999580609454e-07
SERPINA3,1.99306855377836,1.18740530241967e-06
VTN,1.4039823519796,1.6952105201052e-06
NA,1.63939688043814,1.71292280167997e-06
CNN2,0.775658861928438,1.85687645688608e-06
ZBTB21,1.14446358946227,2.26927435955833e-06
ITIH4,0.970965560614999,2.56705184982029e-06
EIF3D,0.697001700595465,3.33342779534214e-06
TIGD5,0.7280875915283,3.39210783308451e-06
SERPINA1,2.28798744365177,3.41074612279623e-06
NA,1.93730479918417,3.81228738251872e-06
TTR,1.62336754240397,3.837926716037e-06
COPB1,0.822345600292966,4.26535601467527e-06
C4A,0.867632976110933,7.81622693881309e-06
TF,1.1623080826513,9.39156658361661e-06
NA,1.12486639867573,1.15713488736973e-05
NA,1.66538105535206,1.19933848883363e-05
KLKB1,1.12224568504417,1.42831868416671e-05
HRG,0.995881239767503,1.56094925469711e-05
APOC3,1.23651736558987,2.31782289253247e-05
TRIM28,-0.437415166875407,2.34348538011783e-05
DDX21,0.497732750710936,2.65429195222145e-05
HBB,1.2110496489359,2.86638607184242e-05
NA,1.25890952034803,2.93952785150911e-05
NA,1.12554209709503,3.31544331420089e-05
U2AF2,-0.606195438985502,3.61151238261135e-05
HBA1,0.73032760229097,4.02353531218433e-05
PLG,0.811381912807104,4.13440702307967e-05
RPL35A,0.813903109577002,5.13199932085446e-05
TFRC,0.462973348238865,5.75510652314421e-05
HMGA2,-0.40082537218964,6.03235728021564e-05
RHOA,-0.437531762257066,6.48169065125772e-05
HP,0.980954283549902,6.49114684120042e-05
FGA,1.79322369143877,6.67899839034797e-05
A2M,0.879964125016695,6.70122695099221e-05
RPS23,-0.461284318304831,6.84862058996396e-05
ZNF106,-0.371784884733202,7.40766333108856e-05
FGB,1.27775504415083,7.60429373714501e-05
RHOB,-0.383429852176494,7.93860966204569e-05
CFB,0.756586632163735,8.18162013924078e-05
RPL21,-0.341956365749507,8.34872460459544e-05
APOD,0.802479228428393,8.39426804209534e-05
YES1,0.513433684304102,8.76976302151934e-05
NKIRAS1,0.583713000728432,0.000100319910502735
M6PR,0.833968619337533,0.000114120891637407
FN1,0.802846423273525,0.000117902570133962
SERBP1,-0.369423359514997,0.000120222776040183
CBX1,-0.298925892186872,0.000122362487945478
ZYX,-0.338442740182,0.00014242199578923
NACA2,0.377846715581995,0.00018001617960472
NAA15,0.476918836706632,0.000182228444215371
RPL32,-0.365555375294605,0.000188038414631888
NPM1,-0.365247160929961,0.000189535289514358
HMBOX1,0.628292645768475,0.00019171197743719
CALM1,0.584483961895032,0.000202514143953908
HMGA1,-0.54428676248207,0.00021183240143278
ADAR,-0.327804010811537,0.000229065944442048
FGG,0.793634479710303,0.000240386248554075
RRM2B,0.422282066617601,0.000245103856722638
SRP19,0.890559821046535,0.000256968591716008
MESD,-0.471977294899229,0.000281035059684961
