"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"314","FCN1",0,3.81654177595295,0.978,0.041,0,"CD14+ Mono","FCN1"
"317","IFI30",0,3.45825785944153,0.979,0.113,0,"CD14+ Mono","IFI30"
"318","CST3",0,3.4300868650452,0.984,0.07,0,"CD14+ Mono","CST3"
"320","CTSS",0,3.0993970210913,0.981,0.385,0,"CD14+ Mono","CTSS"
"324","AIF1",0,2.91617445792782,0.971,0.191,0,"CD14+ Mono","AIF1"
"325","TNFAIP2",0,2.88432885978254,0.919,0.039,0,"CD14+ Mono","TNFAIP2"
"327","PSAP",0,2.83303779119829,0.986,0.592,0,"CD14+ Mono","PSAP"
"329","TYMP",0,2.79272832402177,0.959,0.149,0,"CD14+ Mono","TYMP"
"337","LGALS1",0,2.50513738669992,0.959,0.282,0,"CD14+ Mono","LGALS1"
"342","GSTP1",0,2.40237619460163,0.964,0.507,0,"CD14+ Mono","GSTP1"
"350","NCF2",0,2.27249425376969,0.838,0.066,0,"CD14+ Mono","NCF2"
"351","KLF4",0,2.22134753183628,0.778,0.061,0,"CD14+ Mono","KLF4"
"353","IL1B",0,2.17269287481916,0.529,0.024,0,"CD14+ Mono","IL1B"
"361","CTSD",0,2.05711477015629,0.923,0.443,0,"CD14+ Mono","CTSD"
"363","S100A11",0,2.05232123857043,0.971,0.592,0,"CD14+ Mono","S100A11"
"365","BLVRB",0,2.04493885584751,0.811,0.105,0,"CD14+ Mono","BLVRB"
"367","CXCL8",0,1.99317472163454,0.415,0.007,0,"CD14+ Mono","CXCL8"
"379","CD302",0,1.85396752253099,0.73,0.039,0,"CD14+ Mono","CD302"
"386","TALDO1",0,1.79752654249095,0.891,0.425,0,"CD14+ Mono","TALDO1"
"388","CD36",0,1.78194890494598,0.64,0.022,0,"CD14+ Mono","CD36"
"399","PGD",0,1.70030941954909,0.76,0.175,0,"CD14+ Mono","PGD"
"401","S100A4",0,1.68214464376908,0.978,0.793,0,"CD14+ Mono","S100A4"
"408","TGFBI",0,1.63909290032075,0.666,0.04,0,"CD14+ Mono","TGFBI"
"411","TNFSF13B",0,1.60169825480937,0.659,0.061,0,"CD14+ Mono","TNFSF13B"
"416","PILRA",0,1.5573029291876,0.668,0.034,0,"CD14+ Mono","PILRA"
"426","ASAH1",0,1.47389090164987,0.779,0.273,0,"CD14+ Mono","ASAH1"
"431","CLEC12A",0,1.4505725326502,0.577,0.031,0,"CD14+ Mono","CLEC12A"
"439","RBP7",0,1.42293406260074,0.484,0.009,0,"CD14+ Mono","RBP7"
"443","VSIR",0,1.40931437960551,0.906,0.551,0,"CD14+ Mono","VSIR"
"444","SOD2",0,1.40704419429532,0.717,0.306,0,"CD14+ Mono","SOD2"
"447","ANXA2",0,1.3818720013088,0.845,0.379,0,"CD14+ Mono","ANXA2"
"448","TNFSF13",0,1.38080386042026,0.58,0.041,0,"CD14+ Mono","TNFSF13"
"449","GAPDH",0,1.38018654069909,0.983,0.958,0,"CD14+ Mono","GAPDH"
"452","NPC2",0,1.36953424530983,0.794,0.354,0,"CD14+ Mono","NPC2"
"453","ASGR1",0,1.36760129349493,0.535,0.015,0,"CD14+ Mono","ASGR1"
"461","NAGK",0,1.31700735083836,0.7,0.212,0,"CD14+ Mono","NAGK"
"463","LYN",0,1.3052236542887,0.704,0.124,0,"CD14+ Mono","LYN"
"488","LGALS9",0,1.24299566915871,0.629,0.156,0,"CD14+ Mono","LGALS9"
"490","ITGB2",0,1.23709715425785,0.952,0.763,0,"CD14+ Mono","ITGB2"
"494","PLXNB2",0,1.23305213478364,0.495,0.035,0,"CD14+ Mono","PLXNB2"
"496","SERPINB1",0,1.225303784962,0.806,0.442,0,"CD14+ Mono","SERPINB1"
"498","PECAM1",0,1.22103900244863,0.675,0.159,0,"CD14+ Mono","PECAM1"
"508","CCL3",0,1.17399822645077,0.269,0.021,0,"CD14+ Mono","CCL3"
